"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"YBR072W",303.353783904881,-3.51566820013824,0.477298363478552,-7.36576629870681,1.7613214701379e-13,8.38212887638626e-10
"YGR159C",86.0556130813656,3.00582317938562,0.505346322753846,5.94804601130888,2.71362324306368e-09,6.45706650687002e-06
"YER103W",485.341586436049,-2.20934992355379,0.421422395439746,-5.24260207208109,1.58327752839645e-07,0.00025116059192129
"YPL081W",130.969020680073,2.80220242259611,0.547971257855019,5.11377628375083,3.15781323911145e-07,0.000375700830123285
"YLR178C",258.46587146715,-2.20667573545282,0.435271377821514,-5.06965504255526,3.98537369948746e-07,0.000379327868717216
"YNL160W",264.746111357135,-2.12778468998852,0.429817555807339,-4.95043690337833,7.40470615436556e-07,0.0005334122409799
"YOR120W",306.97670106819,-1.99178261000184,0.403263359034135,-4.93916088675254,7.84594596944589e-07,0.0005334122409799
"YFL034C-A",70.4616636928626,2.49088248581515,0.508014799561717,4.90316913594668,9.43027191538397e-07,0.000560983300566404
"YNR050C",470.96423646517,-2.27733040164162,0.469279588892069,-4.8528221886194,1.21716814778479e-06,0.000643611468367535
"YIR034C",132.730736438647,-2.11915328319491,0.440664022699008,-4.80899999554167,1.51687209842027e-06,0.000721879431638207
"YNL142W",128.884809322696,-3.25854861086153,0.686871682768244,-4.74404272677083,2.09494631572962e-06,0.00090634995605066
"YHR018C",174.920670315533,-3.04748670367069,0.653055058462986,-4.66650807489828,3.06361611039656e-06,0.00121497908911477
"YAL025C",34.2511530513292,2.80494124651982,0.604644506188587,4.63899236296867,3.50111989364492e-06,0.00128167919798894
"YDL182W",255.075861483355,-2.18814764767083,0.476642719057604,-4.59075017866029,4.41655715526961e-06,0.00150131396442344
"YMR173W",368.786472334013,-1.83962809620513,0.408683074893235,-4.50135620782856,6.75212373933689e-06,0.00214222379170028
"YJR109C",204.409979470694,-2.96707563377951,0.661409734711153,-4.48598724522141,7.25770832724229e-06,0.00215871462058413
"YDR070C",41.0489112445786,-2.51992304121043,0.564942595184483,-4.46049397352937,8.17709583862536e-06,0.00228910582917754
"YJL052W",852.45549406776,-1.8173571079439,0.413460599544448,-4.39547833565343,1.10529087804154e-05,0.00292226627144426
"YER042W",40.1409448885379,-3.43705923451436,0.786386740392861,-4.37069835739764,1.23849787308288e-05,0.0031021112515797
"YGL147C",862.086175708439,1.99104814294894,0.457038856698228,4.35640889996271,1.32213683647042e-05,0.00314602460238137
"YDL204W",221.236901018096,-1.80216369619128,0.41538187208032,-4.33857088458306,1.43412230527326e-05,0.0032499943099026
"YBR189W",1035.49932138963,2.02357505835579,0.470497977631505,4.30092190521732,1.70088999993578e-05,0.00337272312903932
