"","logFC","logCPM","PValue","FDR"
"YGR159C",2.99595782158876,6.86902792424571,4.82642842436996e-16,2.51794770899381e-12
"YFL034C-A",2.4894528324873,6.57840292400839,1.40241280105731e-14,3.65819379155799e-11
"YAL025C",2.78868694884669,5.58171670317182,1.83966118852576e-13,3.1991708068463e-10
"YDR070C",-2.51660327060784,5.85350505761515,1.48254818789754e-12,1.93361347406537e-09
"YIR034C",-2.12286082517849,7.49251455491799,5.02627278642956e-12,5.24441302536061e-09
"YBR072W",-3.52374936814807,8.67691344718092,7.51186518986605e-12,6.53156678258853e-09
"YBL042C",1.92148616856937,6.45407921390377,1.99821797428527e-11,1.48924331026375e-08
"YKR092C",2.08024424176994,6.21256756223682,1.56501714480102e-10,1.02058680555337e-07
"YPL183C",1.98115047384954,5.80892238494708,2.07976327920431e-10,1.2055694475121e-07
"YNL015W",-1.87213767041428,7.56411900663212,3.56772938462213e-10,1.7663970988862e-07
"YKR076W",-1.82515177149723,6.40292499358624,3.72443321597626e-10,1.7663970988862e-07
"YLR186W",2.03803389978696,6.07355998454743,6.7632792304631e-10,2.94033564544383e-07
"YKL156W",1.65370048157221,7.41202249206451,1.2883805589391e-09,4.80842380110337e-07
"YLL008W",1.81030952332091,6.98391092742144,1.29035716341666e-09,4.80842380110337e-07
"YNL200C",-1.66070639301481,7.00716979127115,1.43497733677597e-09,4.99085117730682e-07
"YIR038C",-1.83189794696147,6.52301171370981,1.65565783499021e-09,5.39847932821496e-07
"YOR243C",1.93215676089031,6.53824245915883,2.81468311813671e-09,8.63776578077601e-07
"YOL077C",2.16122346325644,6.28123120662418,3.37627232638034e-09,9.78556262595901e-07
"YGR245C",1.83501038349118,6.83415677649343,3.68955991549248e-09,1.01307547784864e-06
"YDL021W",-2.16019294375034,5.8088390543095,5.78416450265089e-09,1.50879931051649e-06
"YBR147W",-2.04114241076754,5.47458880027967,9.29806657336401e-09,2.27981077536411e-06
"YDL085W",-2.25843572105404,5.34583175377531,9.61392314702136e-09,2.27981077536411e-06
"YGR043C",-1.94627547529896,6.06663015317667,1.32422728772241e-08,2.84239849996557e-06
"YPL043W",2.05423359578592,6.16116317278617,1.36285340391493e-08,2.84239849996557e-06
"YOR206W",1.82735262908991,6.76456561798473,1.37694581427491e-08,2.84239849996557e-06
"YLR264W",1.65551786134385,7.32404053154155,1.41656816176164e-08,2.84239849996557e-06
"YLR142W",-1.81956074772511,7.47892136508624,1.56039787119738e-08,3.01503544223583e-06
