"Geneid","Chr","Start","End","Strand","Length","conA_rep1_sorted.bam","conA_rep2_sorted.bam","conB_rep1_sorted.bam","conB_rep2_sorted.bam","WT1_rpm","WT2_rpm","WT3_rpm","WT4_rpm","Matched_Gene","RPKM_WT1","RPKM_WT2","RPKM_WT3","RPKM_WT4"
"YAL068C","NC_001133.9","1807","2169","-",363,0,0,0,0,0,0,0,0,0.362,0,0,0,0
"YAL067W-A","NC_001133.9","2480","2707","+",228,0,0,0,0,0,0,0,0,0.227,0,0,0,0
"YAL067C","NC_001133.9","7235","9016","-",1782,0,0,0,0,0,0,0,0,1.781,0,0,0,0
"YAL065C","NC_001133.9","11565","11951","-",387,0,0,0,0,0,0,0,0,0.386,0,0,0,0
"YAL064W-B","NC_001133.9","12046","12426","+",381,0,2,2,1,0,2.45537358509097,3.16382607815283,1.10946909684778,0.38,0,6.46150943444992,8.32585810040219,2.91965551802046
"YAL064C-A","NC_001133.9","13363","13743","-",381,0,0,0,0,0,0,0,0,0.38,0,0,0,0
"YAL064W","NC_001133.9","21566","21850","+",285,0,0,0,0,0,0,0,0,0.284,0,0,0,0
"YAL063C-A","NC_001133.9","22395","22685","-",291,0,0,0,0,0,0,0,0,0.29,0,0,0,0
"YAL063C","NC_001133.9","24000","27968","-",3969,13,9,3,6,18.0598447686881,11.0491811329094,4.74573911722925,6.65681458108666,3.968,4.55137216952826,2.78457185809208,1.19600280172108,1.67762464241095
"YAL062W","NC_001133.9","31567","32940","+",1374,33,17,13,14,45.8442213359006,20.8706754732733,20.5648695079934,15.5325673558689,1.373,33.3898188899495,15.2007833017285,14.9780549948969,11.312867702745
"YAL061W","NC_001133.9","33448","34701","+",1254,647,380,269,227,898.824581949324,466.520981167285,425.534607511556,251.849484984445,1.253,717.338054229309,372.323209231672,339.612615731489,200.997194720228
"YAL060W","NC_001133.9","35155","36303","+",1149,758,855,409,495,1053.02787189735,1049.67220762639,647.002432982254,549.187202939649,1.148,917.271665415813,914.348612914974,563.590969496737,478.38606527844
"YAL059W","NC_001133.9","36509","37147","+",639,8,12,10,31,11.113750626885,14.7322415105458,15.8191303907642,34.3935420022811,0.638,17.4196718289733,23.0912876340844,24.7948752206335,53.9083730443277
"YAL058W","NC_001133.9","37464","38972","+",1509,39,26,36,50,54.1795343060644,31.9198566061826,56.948869406751,55.4734548423888,1.508,35.9280731472575,21.1670136645773,37.7645022591187,36.7861106381889
"YAL056W","NC_001133.9","39259","41901","+",2643,137,90,54,99,190.322979485406,110.491811329094,85.4233041101265,109.83744058793,2.642,72.0374638476175,41.8212760518901,32.3328176041357,41.5735959833194
"YAL055W","NC_001133.9","42177","42719","+",543,15,15,8,9,20.8382824254094,18.4153018881823,12.6553043126113,9.98522187162999,0.542,38.4470155450357,33.9765717494138,23.3492699494674,18.4229185823431
"YAL054C","NC_001133.9","42881","45022","-",2142,68,29,21,27,94.4668803285225,35.6029169838191,33.2201738206047,29.95566561489,2.141,44.1227838993566,16.6291064847357,15.5161951520807,13.991436531943
"YAL053W","NC_001133.9","45899","48250","+",2352,153,163,137,177,212.550480739176,200.112947184914,216.722086353469,196.376030142056,2.351,90.4085413607722,85.1182250892872,92.1829376237639,83.5287240076803
"YAL051W","NC_001133.9","48564","51707","+",3144,67,65,56,91,93.0776615001618,79.7996415154566,88.5871301882793,100.961687813148,3.143,29.614273464894,25.3896409530565,28.1855329902257,32.1227132717619
"YAL049C","NC_001133.9","51855","52595","-",741,75,54,57,65,104.191412127047,66.2950867974562,90.1690432273557,72.1154912951055,0.74,140.79920557709,89.5879551316976,121.850058415346,97.4533666150074
"YAL048C","NC_001133.9","52801","54789","-",1989,34,28,22,47,47.2334401642612,34.3752301912736,34.8020868596812,52.1450475518455,1.988,23.7592757365499,17.2913632752885,17.5060799092964,26.2299031950933
"YAL047C","NC_001133.9","54989","56857","-",1869,25,20,19,22,34.7304707090156,24.5537358509097,30.0563477424519,24.4083201306511,1.868,18.5923290733488,13.1443982071251,16.0901219178008,13.0665525324685
"YAL046C","NC_001133.9","57029","57385","-",357,20,22,14,40,27.7843765672125,27.0091094360007,22.1467825470698,44.3787638739111,0.356,78.0460015932935,75.8682849325862,62.2100633344658,124.65944908402
"YAL044W-A","NC_001133.9","57518","57850","+",333,30,18,14,21,41.6765648508187,22.0983622658187,22.1467825470698,23.2988510338033,0.332,125.531821839815,66.5613321259601,66.7071763465958,70.1772621500099
"YAL044C","NC_001133.9","57950","58462","-",513,208,263,145,170,288.95751629901,322.881626439463,229.37739066608,188.609746464122,0.512,564.370149021504,630.628176639576,448.002716144688,368.378411062738
"YAL043C","NC_001133.9","58695","61052","-",2358,69,81,66,94,95.8560991568831,99.4426301961843,104.406260579043,104.290095103691,2.357,40.6686886537476,42.1903394977447,44.2962497153345,44.2469644054692
"YAL042W","NC_001133.9","61316","62563","+",1248,123,180,146,223,170.873915888357,220.983622658187,230.959303705157,247.411608597054,1.247,137.027999910471,177.212207424368,185.211951648081,198.405459981599
"YAL041W","NC_001133.9","62840","65404","+",2565,68,59,53,105,94.4668803285225,72.4335207601837,83.84139107105,116.494255169017,2.564,36.8435570704066,28.2502031045958,32.6994504957293,45.4345768989924
"YAL040C","NC_001133.9","65778","67520","-",1743,53,64,88,123,73.6285979031131,78.5719547229111,139.208347438725,136.464698912277,1.742,42.2667037331304,45.1044516205001,79.9129434206226,78.3379442665192
"YAL039C","NC_001133.9","68716","69525","-",810,84,97,82,80,116.694381582292,119.085618876912,129.716869204266,88.7575277478221,0.809,144.245218272302,147.201012208791,160.342236346435,109.712642457135
"YAL038W","NC_001133.9","71786","73288","+",1503,3595,6590,3768,5481,4994.24168795645,8090.45596287475,5960.64833123994,6081.00011982266,1.502,3325.06104391241,5386.45536809238,3968.47425515309,4048.6019439565
"YAL037C-A","NC_001133.9","73426","73518","-",93,54,69,53,82,75.0178167314737,84.7103886856385,83.84139107105,90.9764659415177,0.092,815.411051429062,920.765094409114,911.319468163587,988.874629799105
"YAL037W","NC_001133.9","74020","74823","+",804,3,5,5,11,4.16765648508187,6.13843396272743,7.90956519538208,12.2041600653255,0.803,5.19010770246809,7.64437604324711,9.85001892326535,15.1982068061339
"YAL036C","NC_001133.9","75043","76152","-",1110,52,52,67,127,72.2393790747525,63.8397132123653,105.98817361812,140.902575299668,1.109,65.1392056580275,57.5651156107892,95.570941044292,127.053719837392
"YAL035W","NC_001133.9","76427","79435","+",3009,322,448,424,728,447.328462732121,550.003683060378,670.7311285684,807.693502505181,3.008,148.712919791264,182.846969102519,222.982423061303,268.515127162627
"YAL034W-A","NC_001133.9","79718","80587","+",870,15,16,12,16,20.8382824254094,19.6429886807278,18.982956468917,17.7515055495644,0.869,23.9796115367196,22.6041296671206,21.8445989285581,20.42750926302
"YAL034C","NC_001133.9","80710","81951","-",1242,190,117,64,94,263.951577388519,143.639354727822,101.242434500891,104.290095103691,1.241,212.692648983496,115.744846678342,81.5813331997507,84.0371435162699
"YAL033W","NC_001133.9","82706","83227","+",522,7,6,18,15,9.72453179852437,7.36612075527291,28.4744347033755,16.6420364527166,0.521,18.6651282121389,14.1384275533069,54.65342553431,31.9424883929302
"YAL032C","NC_001133.9","83335","84474","-",1140,41,26,22,24,56.9579719627856,31.9198566061826,34.8020868596812,26.6272583243466,1.139,50.006999089364,28.0244570730313,30.5549489549439,23.3777509432367
"YAL031C","NC_001133.9","84749","87031","-",2283,66,73,49,84,91.6884426718012,89.6211358558205,77.5137389147444,93.1954041352132,2.282,40.178984518756,39.273065668633,33.9674578942789,40.8393532582004
"YAL030W","NC_001133.9;NC_001133.9","87286;87501","87387;87752","+;+",354,39,47,21,30,54.1795343060644,57.7012792496378,33.2201738206047,33.2840729054333,0.466,116.265095077391,123.822487660167,71.2879266536582,71.4250491532903
"YAL029C","NC_001133.9","87855","92270","-",4416,78,97,102,161,108.359068612129,119.085618876912,161.355129985794,178.624524592492,4.415,24.5433903991232,26.9729601080209,36.5470283093532,40.4585559665894
"YAL028W","NC_001133.9","92900","94486","+",1587,49,41,24,35,68.0717225896706,50.3351584943649,37.965912937834,38.8314183896722,1.586,42.9203799430458,31.7371743344041,23.9381544374741,24.483870359188
"YAL027W","NC_001133.9","94687","95472","+",786,29,20,15,16,40.2873460224581,24.5537358509097,23.7286955861462,17.7515055495644,0.785,51.3214599012205,31.2786443960633,30.2276376893583,22.6133828656872
"YAL026C","NC_001133.9","95630","99697","-",4068,91,80,76,122,126.418913380817,98.2149434036389,120.225390969808,135.355229815429,4.067,31.0840701698591,24.149236145473,29.5611976812903,33.281344926341
"YNCA0001W","NC_001133.9","99305","99868","+",564,0,0,0,0,0,0,0,0,0.563,0,0,0,0
"YAL025C","NC_001133.9","100225","101145","-",921,10,8,44,76,13.8921882836062,9.82149434036389,69.6041737193623,84.319651360431,0.92,15.1002046560937,10.6755373264825,75.6567105645242,91.6517949569902
"YAL024C","NC_001133.9","101565","105872","-",4308,27,41,23,35,37.5089083657369,50.3351584943649,36.3839998987576,38.8314183896722,4.307,8.70882478888713,11.6868257474727,8.44764334774961,9.01588539346928
"YAL023C","NC_001133.9","106272","108551","-",2280,232,245,232,344,322.298768179665,300.783264173644,367.003825065729,381.657369315635,2.279,141.421135664618,131.980370414061,161.03722030089,167.467033486457
"YAL022C","NC_001133.9","108877","110430","-",1554,47,41,26,61,65.2932849329493,50.3351584943649,41.1297390159868,67.6776149077144,1.553,42.0433257778167,32.4115637439568,26.4840560308994,43.578631621194
