# Program:featureCounts v2.0.6; Command:"featureCounts" "-a" "/home/ibab/Desktop/DIBYENDU/s3/RA/rnaseq/GCF_000146045.2_R64_genomic_copy.gtf" "-o" "gene_counts.txt" "conA_rep1_sorted.bam" "conA_rep2_sorted.bam" "conB_rep1_sorted.bam" "conB_rep2_sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	conA_rep1_sorted.bam	conA_rep2_sorted.bam	conB_rep1_sorted.bam	conB_rep2_sorted.bam
YAL068C	NC_001133.9	1807	2169	-	363	0	0	0	0
YAL067W-A	NC_001133.9	2480	2707	+	228	0	0	0	0
YAL067C	NC_001133.9	7235	9016	-	1782	0	0	0	0
YAL065C	NC_001133.9	11565	11951	-	387	0	0	0	0
YAL064W-B	NC_001133.9	12046	12426	+	381	0	2	2	1
YAL064C-A	NC_001133.9	13363	13743	-	381	0	0	0	0
YAL064W	NC_001133.9	21566	21850	+	285	0	0	0	0
YAL063C-A	NC_001133.9	22395	22685	-	291	0	0	0	0
YAL063C	NC_001133.9	24000	27968	-	3969	13	9	3	6
YAL062W	NC_001133.9	31567	32940	+	1374	33	17	13	14
YAL061W	NC_001133.9	33448	34701	+	1254	647	380	269	227
YAL060W	NC_001133.9	35155	36303	+	1149	758	855	409	495
YAL059W	NC_001133.9	36509	37147	+	639	8	12	10	31
YAL058W	NC_001133.9	37464	38972	+	1509	39	26	36	50
YAL056W	NC_001133.9	39259	41901	+	2643	137	90	54	99
YAL055W	NC_001133.9	42177	42719	+	543	15	15	8	9
YAL054C	NC_001133.9	42881	45022	-	2142	68	29	21	27
YAL053W	NC_001133.9	45899	48250	+	2352	153	163	137	177
YAL051W	NC_001133.9	48564	51707	+	3144	67	65	56	91
YAL049C	NC_001133.9	51855	52595	-	741	75	54	57	65
YAL048C	NC_001133.9	52801	54789	-	1989	34	28	22	47
YAL047C	NC_001133.9	54989	56857	-	1869	25	20	19	22
YAL046C	NC_001133.9	57029	57385	-	357	20	22	14	40
YAL044W-A	NC_001133.9	57518	57850	+	333	30	18	14	21
YAL044C	NC_001133.9	57950	58462	-	513	208	263	145	170
YAL043C	NC_001133.9	58695	61052	-	2358	69	81	66	94
YAL042W	NC_001133.9	61316	62563	+	1248	123	180	146	223
YAL041W	NC_001133.9	62840	65404	+	2565	68	59	53	105
YAL040C	NC_001133.9	65778	67520	-	1743	53	64	88	123
YAL039C	NC_001133.9	68716	69525	-	810	84	97	82	80
YAL038W	NC_001133.9	71786	73288	+	1503	3595	6590	3768	5481
